# Region      : cellZone ignition
# Cells       : 1
# Volume      : 2.655875e-09
# Time        	volAverage(T)	volAverage(CH4)
0.0054        	2.246369e+03	9.983813e-06
0.00541       	2.245932e+03	1.001240e-05
0.00542       	2.245894e+03	1.028281e-05
0.00543       	2.245780e+03	1.043440e-05
0.00544       	2.245605e+03	1.056887e-05
0.00545       	2.245392e+03	1.068765e-05
0.00546       	2.245153e+03	1.079172e-05
0.00547       	2.244900e+03	1.086850e-05
0.00548       	2.244634e+03	1.093379e-05
0.00549       	2.244359e+03	1.099677e-05
0.0055        	2.244075e+03	1.105979e-05
0.00551       	2.243788e+03	1.111313e-05
0.00552       	2.243490e+03	1.117574e-05
0.00553       	2.243183e+03	1.126710e-05
0.00554       	2.242867e+03	1.138755e-05
0.00555       	2.242546e+03	1.150884e-05
0.00556       	2.242223e+03	1.160962e-05
0.00557       	2.241899e+03	1.168177e-05
0.00558       	2.241573e+03	1.173084e-05
0.00559       	2.241245e+03	1.178304e-05
0.0056        	2.240911e+03	1.184616e-05
0.00561       	2.240577e+03	1.188795e-05
0.00562       	2.240248e+03	1.165295e-05
0.00563       	2.239914e+03	1.155799e-05
0.00564       	2.239551e+03	1.167302e-05
0.00565       	2.239209e+03	1.174220e-05
0.00566       	2.238886e+03	1.168737e-05
0.00567       	2.238565e+03	1.154954e-05
0.00568       	2.238225e+03	1.148311e-05
0.00569       	2.237877e+03	1.148134e-05
0.0057        	2.237535e+03	1.147668e-05
0.00571       	2.237193e+03	1.145193e-05
0.00572       	2.236838e+03	1.146628e-05
0.00573       	2.236484e+03	1.150529e-05
0.00574       	2.236129e+03	1.155814e-05
0.00575       	2.235788e+03	1.152973e-05
0.00576       	2.235456e+03	1.142414e-05
0.00577       	2.235099e+03	1.141448e-05
0.00578       	2.234745e+03	1.143844e-05
0.00579       	2.234390e+03	1.148301e-05
0.0058        	2.234049e+03	1.145708e-05
0.00581       	2.233707e+03	1.139871e-05
0.00582       	2.233359e+03	1.134762e-05
0.00583       	2.233015e+03	1.130066e-05
0.00584       	2.232687e+03	1.117552e-05
0.00585       	2.232350e+03	1.108568e-05
0.00586       	2.232024e+03	1.096446e-05
0.00587       	2.231704e+03	1.083155e-05
0.00588       	2.231230e+03	1.059771e-05
0.00589       	2.230969e+03	1.050228e-05
0.0059        	2.230659e+03	1.057230e-05
0.00591       	2.230154e+03	1.074996e-05
0.00592       	2.229888e+03	1.090727e-05
0.00593       	2.229442e+03	1.090161e-05
0.00594       	2.229229e+03	1.076706e-05
0.00595       	2.228976e+03	1.060365e-05
0.00596       	2.228496e+03	1.060099e-05
0.00597       	2.228216e+03	1.080823e-05
0.00598       	2.227739e+03	1.103952e-05
0.00599       	2.227499e+03	1.119878e-05
0.006         	2.227058e+03	1.121761e-05
0.00601       	2.226822e+03	1.123740e-05
0.00602       	2.226375e+03	1.123231e-05
0.00603       	2.226147e+03	1.122889e-05
0.00604       	2.225710e+03	1.119270e-05
0.00605       	2.225326e+03	1.110125e-05
0.00606       	2.225140e+03	1.098686e-05
0.00607       	2.224734e+03	1.086353e-05
0.00608       	2.224537e+03	1.076595e-05
0.00609       	2.224134e+03	1.065341e-05
0.0061        	2.223945e+03	1.051099e-05
0.00611       	2.223566e+03	1.028920e-05
0.00612       	2.223190e+03	1.025871e-05
0.00613       	2.222989e+03	1.037760e-05
0.00614       	2.222581e+03	1.053324e-05
0.00615       	2.222214e+03	1.068227e-05
0.00616       	2.222044e+03	1.075492e-05
0.00617       	2.221669e+03	1.073350e-05
0.00618       	2.221324e+03	1.069412e-05
0.00619       	2.221168e+03	1.062007e-05
0.0062        	2.220809e+03	1.050297e-05
0.00621       	2.220646e+03	1.039051e-05
0.00622       	2.220286e+03	1.024915e-05
